player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
526,25-26-prem-nottingham-forest-vs-west-ham-united,17,0,0,0,0.0,0.0,0,0,0,0,5,3,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,3,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615,25-26-prem-nottingham-forest-vs-west-ham-united,8,0,1,0,0.0,0.02,0,0,0,1,7,5,0.0,1.0,0,0,0.0,1,0.0,0,0,3,1,0,0,0,1,0,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
696,25-26-prem-nottingham-forest-vs-west-ham-united,1,0,0,0,0.0,0.0,0,0,0,0,4,4,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,25-26-prem-nottingham-forest-vs-west-ham-united,1,0,0,0,0.0,0.0,0,0,0,0,4,2,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,25-26-prem-aston-villa-vs-crystal-palace,90,0,0,0,0.0,0.48,0,0,0,3,58,28,0.0,1.0,5,1,0.0,1,0.0,0,1,8,0,5,3,0,7,5,6,0.0,1,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,6,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,25-26-prem-aston-villa-vs-crystal-palace,90,0,1,0,0.0,0.12,0,0,0,1,54,38,0.0,1.0,3,0,0.0,2,0.0,0,3,1,0,7,3,0,2,2,0,0.0,2,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,25-26-prem-aston-villa-vs-crystal-palace,90,1,0,2,1.43,0.0,1,1,1,2,35,17,0.0,0.0,2,0,0.0,1,0.0,0,1,5,0,2,2,1,4,5,2,0.0,2,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.89,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,25-26-prem-aston-villa-vs-crystal-palace,90,0,0,3,0.09,0.05,1,1,0,3,94,73,0.0,1.0,20,0,0.0,9,0.0,0,0,5,1,0,0,1,4,2,4,0.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.22,1,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,25-26-prem-aston-villa-vs-crystal-palace,45,0,0,1,0.01,0.12,0,0,0,5,39,23,0.0,3.0,3,0,0.0,0,0.0,0,1,3,0,0,0,1,6,5,5,0.0,1,0.0,2,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,25-26-prem-aston-villa-vs-crystal-palace,74,0,0,0,0.0,0.12,0,2,0,0,63,38,0.0,1.0,7,0,0.0,1,0.0,0,0,3,0,1,0,1,5,6,5,0.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,25-26-prem-aston-villa-vs-crystal-palace,56,0,0,0,0.0,0.01,0,1,0,0,39,29,0.0,0.0,5,0,0.0,2,0.0,0,0,5,0,0,0,2,1,2,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,25-26-prem-aston-villa-vs-crystal-palace,90,0,0,0,0.0,0.03,0,0,0,2,97,83,0.0,1.0,10,0,0.0,3,0.0,0,0,5,0,5,3,0,3,1,1,0.0,2,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712,25-26-prem-aston-villa-vs-crystal-palace,19,0,0,1,0.02,0.01,0,2,0,0,19,13,0.0,1.0,2,0,0.0,0,0.0,0,1,3,0,0,0,0,3,4,3,0.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,25-26-prem-aston-villa-vs-crystal-palace,84,0,0,1,0.13,0.12,0,0,0,1,95,58,0.0,2.0,11,3,0.0,4,0.0,0,1,5,0,5,4,0,2,2,0,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,25-26-prem-aston-villa-vs-crystal-palace,71,0,0,0,0.0,0.02,0,0,0,0,34,25,0.0,0.0,3,0,0.0,1,0.0,0,1,2,0,3,0,1,1,3,1,0.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,25-26-prem-aston-villa-vs-crystal-palace,74,0,0,1,0.01,0.11,0,1,0,0,78,47,0.0,1.0,9,2,0.0,2,0.0,0,2,1,0,1,1,0,1,4,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,25-26-prem-aston-villa-vs-crystal-palace,90,0,0,0,0.0,0.02,0,1,0,0,76,64,0.0,0.0,10,0,0.0,2,0.0,0,1,2,0,2,2,1,2,4,2,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,25-26-prem-aston-villa-vs-crystal-palace,16,0,0,0,0.0,0.0,0,0,0,0,14,11,0.0,0.0,1,0,0.0,1,0.0,0,0,1,0,0,0,0,2,1,1,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,25-26-prem-aston-villa-vs-crystal-palace,34,0,0,1,0.36,0.01,1,0,1,1,20,10,0.0,0.0,2,0,0.0,0,0.0,0,0,1,0,1,1,0,2,2,1,0.0,1,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.23,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,25-26-prem-aston-villa-vs-crystal-palace,16,0,0,0,0.0,0.0,0,0,0,0,12,3,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,1,2,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,25-26-prem-aston-villa-vs-crystal-palace,90,0,0,1,0.04,0.03,1,1,0,3,37,16,0.0,0.0,5,0,0.0,1,0.0,0,1,4,0,0,0,1,4,6,4,0.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.51,1,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,25-26-prem-aston-villa-vs-crystal-palace,90,0,0,0,0.0,0.0,0,0,0,0,27,18,0.0,0.0,0,0,0.0,6,0.0,0,0,7,0,3,0,0,0,1,0,0.0,0,0.0,0,1,1,3,2.45,-0.55,3,18,6,0.0,1,0,0,0,0.0,0.0,0.0,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,25-26-prem-aston-villa-vs-crystal-palace,45,0,0,1,0.07,0.0,1,0,0,1,23,10,0.0,0.0,0,0,0.0,0,0.0,0,0,3,0,0,0,0,2,6,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.06,1,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
